Å°,¸ö¹«°Ô
128.8,24.6
126,24.8
111.8,17.4
118.1,20.1
118.8,17.6
123.4,23
114.1,19.3
125.6,19.9
119.2,22.4
115.1,19.6
125.7,24.7
117.1,21
124.2,25.5
122,26.6
118.6,20.3
117.5,20.7
117.9,22
117.8,20.8
132.3,29
121.8,22.9
129.7,31.8
127,26.4
136.1,27.3
123.7,22.4
114.1,20.8
125.8,31
131.2,27.2
121.5,24.5
127.2,22.6
123.1,23.8
118.8,20.4
122.1,26.5
135.8,40.6
125,27.4
124.7,26
115.8,20.8
128.6,22.7
121.2,21.2
129.2,24.4
126.3,23.6
125.2,24.3
121.7,23.1
139.1,33.2
124.1,25.2
133.6,28.1
133.2,25.5
123.6,26.4
133.9,40.4
134.5,26.6
135.5,30.8
134,35.6
137,31.7
138.8,29.5
137.8,33
137.9,44.5
139.2,36
131.4,26.3
131,27.9
129,27.1
134.4,31.5
138.8,32.1
133.2,39
130,38.3
139.2,31.3
134.6,48.2
124.8,24.5
134.8,26.5
126.2,22.8
136.2,39.5
136.3,27.1
123.6,23.7
134,26.8
129.2,25.8
123.9,26.1
138.7,35.1
134.6,32.8
139.9,35.1
135.9,30.2
145.9,42.7
141,34
131.9,28.7
145.9,46.2
138.5,44.9
134.3,26
140.7,28.3
133.7,33.6
132.6,30.4
139.2,33.6
145,50.4
137.7,38.4
132.3,34.5
144.3,46.4
136.7,31.1
141.9,46.2
134.9,28.8
136.9,40.5
146.9,47
139,39.3
132,30.6
144.2,47.3
131.3,25.7
136.3,32
131.4,26.9
127.9,25.5
137.3,37.4
138.6,37.4
139.5,43.8
130.9,39.3
137.2,34.5
133.1,33
143.5,34.6
144.7,43.4
140.8,46.3
144,45.7
140.5,33.5
142,38.2
137.1,39.8
140.8,36.4
148.8,36.6
142.7,34.9
153.5,60.2
146.9,51.3
148.2,36.6
130.2,25.6
140.9,31.4
154.3,66.4
142.7,42.9
150.9,71.6
142.5,34.8
133.6,23.7
137.9,27.5
142.7,31.8
142.2,33.3
140.7,45.3
146.2,47.9
138.8,30.7
141.9,39.9
141.1,31.9
151,48.1
139.3,34.9
156.5,44.4
163.1,48.8
141.1,38.1
151.4,36.9
155.3,57.8
158.8,48
168.9,58.7
146.7,39.8
143.3,45.9
138,46.5
156.4,38.4
147.4,39
135.5,27.8
138.2,29.7
160.6,51.7
152.7,34.6
145.9,30.1
149,48.1
148.7,42.3
148,46
145.9,36.3
149.8,39.7
153.9,58.2
118,21
122.5,24.2
120.3,27.2
118.7,23.1
124.8,25
132.3,33.7
121,22.9
121.3,24.3
120.8,24.8
119.8,26.3
120.4,23.2
114,22.7
119.2,22.1
112.8,19.6
121.4,22.2
123,24.3
117.3,22.6
118.9,22.2
125.8,37.5
127.4,26.4
124,26.3
120,23.1
125.7,27.6
118.3,20.8
111.7,19.2
128.2,27.5
116.1,16.4
123.5,23.4
125,24.3
126.8,27.8
135.7,49.7
129.7,27.5
129.6,29.1
127.8,25
132,36.6
126.6,31.2
129,26
126.7,23.7
127.1,24.5
128.3,22.4
128.9,25.1
130,24.8
122.9,21.5
130.6,24.5
130.5,24.8
126.3,22.4
124.9,34.6
127.7,26.6
132.5,27.9
123.4,25.3
120.7,21.1
127.4,27.4
133.4,26.7
135.7,33.2
124.6,30
135.1,33.6
135.9,37.5
128.2,29.6
138.1,32.5
148.2,44.5
135.5,27.3
133.5,27.9
132.6,32.7
126.3,25.2
131.1,37.5
132.9,29.4
130.5,27.2
125.2,27.5
137,26.7
132.9,27.5
131.1,27.3
138.8,32.9
135.9,35.1
138.5,31.3
133.7,25.6
152.3,47.6
129.3,28.4
136.6,25
142.2,34
145.4,36.9
140.7,33.1
137.3,31.5
132.7,28.5
140.5,34
135,32.1
136.6,32.2
142,42.7
143.9,30.8
134.3,28.9
146.1,43.6
137.5,32.7
136.2,32.9
136.7,33.8
142,35.7
140.1,32
137,28.4
138.6,33.9
132.3,31.4
134.9,33.7
140.2,38.8
134.8,26
140.7,32.2
140,33
144,45
147,35
145,47
149,48
144,38
146,38
139,31
147,31
150,49
148,42
152,40
149,38
139,37
142,31
157,38
147,40
145,50
147,32
135,35
156,57
147,43
151,43
143,34
134,29
148,42
155.5,43.1
151.9,43.1
148.9,41.2
157.1,53.5
153.1,52.8
153.4,38.3
150.1,41.5
154,46.6
156.6,45.2
152.5,46.6
158.7,54.9
160.8,48.3
154.8,45.8
149,37.5
152.8,38.3
155.7,54.6
141.5,28.9
143.6,38
144.5,37.5
144.7,29.2
151.1,44.9
147.7,36.9
150.4,44.9
148.7,47.7
127.3,30.3
122.7,31.5
117.8,22.8
131.3,40.3
115.9,21.4
119.3,21.4
117.9,21.1
114.4,23.1
123.4,30
119.2,24
129,31.6
112.5,18.7
121.5,25.6
116.4,23.5
116.3,19.2
118.4,23.5
121.5,29
111.4,20.1
118.5,21.5
109.8,19.7
117.2,22.6
119.9,32.3
115.7,23.8
123.5,24.4
114.2,19.1
120.9,23.9
122.7,25.1
120.1,27.6
118.8,22.5
127.9,35.8
132.3,35
127.2,29.4
140.5,31.9
126.1,25.7
136.2,41.3
127.9,28.8
126.9,25.1
134.6,32
123.7,28.7
131.1,30.2
130.8,26
130.3,35.8
120.6,21.7
125.4,26.9
129.4,26.1
122.7,26
120.6,22
131.2,32.4
120.9,21.3
129.8,39.4
125.1,23.4
131.5,30.5
142.8,30.6
122.5,21.5
119.7,19.4
134.5,39.1
125.2,25.9
148.1,40.9
128.4,35.4
126.3,27.2
123.8,24.1
136.9,30.9
124.4,24.3
134.1,32.1
137.6,47.9
132.7,26.6
129.9,32
133.4,39.1
136,27.2
137.8,32.4
136.2,36.7
136.9,28.4
130.2,24.4
133.7,33.9
133.1,28.4
122.9,28
138.9,33.8
134.3,26.2
131.9,38.3
131.1,30.6
142.9,40.2
138.2,47.4
125.5,23.6
145.7,38.8
133.5,32.5
129,28.1
131.4,29.5
137.8,37.1
130.4,28.4
140.2,43.8
146.5,60.8
143.1,45
153.5,70.6
136.5,41.4
135.9,39.8
133.7,32.4
139.2,36
139.6,33.7
122,25
145.2,37.9
150,49.1
137.8,30.9
140.7,38
136.4,39.1
134,34.9
133.8,31.6
136.5,30.6
134.3,27.7
143.1,48.9
142.3,35
138.6,29.8
144.9,37.4
145.9,45.7
135.4,28.8
149.9,64.5
145.2,39.9
138.4,33
137.4,38.7
147.4,36.8
150.7,46.9
140.4,32.8
148.3,41.5
148.3,45.4
137.6,42
143.7,51.7
131.5,28.8
142.6,35.2
143.4,45.3
148.5,40.2
157.7,62.1
147.3,37.9
151.2,43
140.5,37.1
151.6,44.1
141.4,40.1
156.4,63.8
146.5,44.2
149.6,42.8
136.9,42.9
158.1,44.6
147.5,33.2
145,44.5
157.7,49.3
152.1,58.2
154.9,50.3
147.1,33.3
144.9,45.2
157.5,49.6
165,90.2
162.9,58.7
146.4,42.7
165.1,56.9
152.1,43.8
152.6,48.2
153.9,46.5
155.8,41.2
155.7,42.6
149.9,42.5
155.3,46.3
151.6,54.8
151.1,45.4
134.6,30.5
152.5,45.8
154.4,46.7
155.7,48.2
147.9,36.5
151.1,48.5
153.5,43
153.3,44.9
148.1,41.7
141.1,34.1
115,21.9
123.9,35.1
119.4,22.4
126.1,24.6
115.6,21.3
112.7,20.5
119.4,20.8
118.4,23.6
125,25.3
123.4,25.3
118.1,24.9
116.6,24.6
127.3,27.3
116.7,26.3
122.8,25.6
120.6,22.5
120.2,29.6
124.9,24.8
115.8,20.1
125.1,29.3
122.6,20.8
120.4,23.7
126,26.1
129.7,27.7
116,22.1
127.5,27.4
115.5,21
127,30.7
114.6,20.3
125.4,27.8
115.4,20.1
119.7,21.2
125.5,26.1
120.9,25.1
128.7,26.1
129.2,30
119.6,20.6
129.5,26.5
125.1,30.4
114.7,29.7
130,29.7
133.2,26.7
135.7,28.6
123.1,20.1
126,29.2
142.3,36.2
123.7,25.6
133.3,38.3
124.2,18.5
118.8,21.8
128.2,25.3
123.3,21.3
130.4,28.4
127.8,27.6
138.4,24.5
131.3,23.5
128.7,26.5
118.7,19.8
120.3,24.6
123.9,24.1
134.7,25.6
130.2,24.6
135.6,25.1
126.8,26.6
122.7,20.1
118.6,18.5
132,29.3
122.9,21.7
126.1,27.5
128,24.1
125,23.1
124.3,22.6
130.2,27.1
126.8,25.7
126,24.5
123.9,21.4
132.1,25.3
112.8,16.7
131,25.7
130.1,32.2
138.4,38.5
127.4,25.8
136.4,46.3
130.8,30.2
133,32.4
140.4,34.6
130.3,25.2
140.5,32.5
125.9,22.4
129.6,22.8
133.8,26.4
137.2,30.8
128.3,25.1
137.3,38.6
130.5,30.6
128.9,30.7
129.9,22.6
137.6,40.6
134.1,24.3
134.6,33
129.5,26.2
127.2,30.8
140.8,34.7
135.9,39.3
134.3,27.1
136.9,29.4
134.4,29.6
128.2,28.8
129.2,25
130.2,28.5
131.5,25.7
140.2,33.5
139.7,27.3
130.3,26.6
141.8,28
125.5,20.5
137.1,39.6
134.1,27.3
135.3,27.1
148.9,50.2
139.3,37
131.3,32.1
134.7,37.3
146.1,46.5
139.5,32.8
141.9,37.4
138.2,42.1
136.2,32.5
145.5,39.4
140.6,37.6
142.4,40.1
131.8,28.6
134.9,25.3
150.4,43
142.3,30.1
139.4,33.7
141.3,39.4
146.3,36.3
130.6,24.4
147.6,56.5
132.3,27.1
129.7,34.8
143.8,40.9
130,27.7
131.8,29.7
137.8,35.7
144.5,37.8
139.1,28.5
134.3,28
141.6,34.5
153.3,42.4
156.3,68.9
139.6,38.8
143.5,39.4
135.3,31.4
145.4,30.5
144.3,36.3
140.4,43.7
142.6,41
150.3,42.7
146.3,31.2
148.7,34.5
146.2,35.2
152.6,45.9
145.3,37.1
143.3,37.3
151.9,38.6
140.1,30.4
152.4,40.6
155.1,48.7
149.4,35.4
154.3,57.6
148.4,36.5
159.6,52.6
148.5,38.2
148.6,43.2
149,36.2
141.7,28.3
141,32
149.6,37.5
156.8,52
142.3,38.3
148.6,39
164.1,65.7
161.4,52.5
146.1,33.1
147.6,34
158.9,38.9
151.8,45
154.8,41
158.2,51.8
155.5,45.1
147.8,41
160.6,53.6
156.3,40.9
144.6,37
158.8,42.5
162,60.3
164.8,52.8
148.8,38.8
160.4,45.8
160.6,45.7
158.8,47.3
153.1,37.7
152.1,37.7
158.8,44
157.2,48.4
153.7,56.3
145.3,33.1
155.2,46.6
151.9,50.7
121.2,21.9
118,19.7
123.2,22.9
122.9,24.8
123.8,23.5
125.4,31.4
111.9,17.3
122.7,24.8
115.2,18
121.7,23.2
124.1,22.9
124.2,23.9
114.1,18.9
114.9,21
125.9,29.4
125.2,25.6
121.4,22.5
119.5,31.2
121.5,24.3
122.3,29.9
126.6,28.5
114.3,21.4
132.7,34.2
119.1,23.7
131.8,40.5
116.1,20.8
119.2,22.5
126,25.4
128.9,24.7
132.8,40.5
128.3,27.7
120.9,27.6
127.9,29.8
127.2,32.8
128.9,33.9
136.9,56.9
130.9,29.7
125.1,30.2
134.4,36.1
126.1,27.7
136.4,41
124,27.7
123.7,25.3
138,33.6
123,24.4
121.7,24.8
135.3,30.9
135.5,33.4
121.4,26.4
118.1,22
124.8,28.8
131.2,33.8
141.1,40.3
136.1,37.2
139.1,39.4
125.9,33.7
141.5,47.2
135.5,40.7
133,29.5
131,38.8
137.2,58.8
138.4,36.1
134.7,51.6
144.1,40.4
140.4,31.6
130.9,31.9
139.2,40.7
139.3,35.2
128.7,26.4
142.2,39.6
132,31.6
126.7,32.6
145.9,50
133,27.1
134.8,31.7
128.1,28.5
133.1,26.9
137.5,47.9
136,30.9
147.4,41.5
127.2,29.1
137.5,38.2
144.9,44.1
144.3,43.5
140,52.8
136.9,33.9
141.1,31.8
137.7,30.1
144.4,48.7
149.1,39.9
144,45.3
142.2,34.2
136.6,27.8
135.2,35.2
142,48.8
143.3,44.6
140.6,50.7
141.7,35
146.4,35.8
154.6,49.6
146.3,38
134.8,32.5
137.3,33.2
147.5,34.6
144.7,39.1
136.7,33.5
134.3,25.8
141.9,46.2
146.7,37.6
141.4,41.6
140.1,45.9
145.5,46.8
144.2,42.4
148.8,43.3
142.4,34.6
126.1,25.5
140.5,29
138.1,22.2
144.7,38
143.6,32
142.1,29.2
142.2,53.1
140,41.6
154.8,53.9
150.8,51.1
146.8,47.6
147.4,48.4
152.8,37.5
143.6,28.9
156.1,39.3
161.4,55.1
141.3,36.7
146.9,35.3
146.2,37.8
154.3,37.8
150.9,48.9
155,42.7
162,45
152.3,59.1
150.3,51.3
143.8,38.5
151,45.1
162.4,58.9
158.8,64.9
146,40
120.1,22.7
126.6,28.2
122.6,26
117.2,24.5
123.4,30.1
119.5,22.1
120.1,22.7
126.6,28.2
122.6,26
117.2,24.5
123.4,30.1
119.5,22.1
120.1,22.7
126.6,28.2
122.6,26
117.2,24.5
123.4,30.1
119.5,22.1
120.1,22.7
126.6,28.2
122.6,26
117.2,24.5
123.4,30.1
119.5,22.1
123.2,25.2
127.9,35.5
129.2,27.7
125.8,28.7
134.7,36.1
135.3,35.9
131.3,31.6
128.7,26.3
137.1,30.1
133.9,27.8
118.6,22
121.5,33.8
140.1,39.3
133.6,28.7
133.1,31.6
125.5,22.3
126.8,31.7
121.1,22
122.8,24.5
123,21.9
120,21.8
119.5,19.4
131.7,30.6
140.5,33.3
127.8,22.6
121,20.9
130.3,24.9
135.8,38.4
140,29.4
135.8,27.1
132.9,29.5
134.7,34.6
127,24.5
126,23.6
135.5,26.8
139.4,35.3
131.1,24.2
133.2,32.1
135.2,28.8
133.4,34.1
131.5,35.1
125.3,22.5
141.8,45.9
125.1,32.2
124.9,25
143.1,30.2
137.3,25.4
139.2,33.9
143.1,37.8
127.7,22.1
126.5,30.2
144.9,32.3
132,25.4
136,36.2
141,31.2
134,33.5
140.8,41.8
130,26.9
132.2,34.7
152.4,56.3
135.6,36
138,32.1
129.9,25.6
157,50.7
143.5,34.2
141.6,40.7
141.8,33
140.6,35
131,27
139.1,30.5
133.4,23.8
133.1,23.9
136,40
136.8,34.5
138.7,36.9
142.8,32.7
139.3,33.4
146,49.2
146.4,50.3
147.3,33.1
135.2,31.4
147.9,40.6
156.4,51.7
151.6,45.2
155.9,44.5
144.7,53.9
141.9,45.5
157.3,47.3
150.7,45.7
145.9,31.5
147,43.4
144.4,44
149.5,44.3
136.7,38
147.7,34.1
137.7,26.2
149.2,51.7
154.4,47.3
149.3,38.2
141.3,45.7
139.6,30.8
146.6,32.1
150.2,34.7
149,41.8
149.7,59.3
152,58.2
153.6,57.7
149.4,38.1
145.5,
164.2,
149.3,
155.5,
153.2,55
158,39.4
151.6,37.4
156,53.6
167.4,48.3
144.9,34.9
157.5,47.8
152,35
154.4,44.1
152.3,40.3
151.2,48
148.4,39
155.3,48
156.7,59.8
139.7,28.9
155.6,51.8
138,26
119.9,21.8
120.9,28.5
120.5,22.3
131.2,35.9
120.9,21.8
120.9,28.5
120.5,22.3
119.5,20.8
123.8,24.6
118,21.5
124.1,23.7
133,34.1
115,19.1
132.8,31
118.7,19.9
122.1,21.6
129.6,23.9
119.4,20.7
129.8,28.7
120.6,21.7
124.6,23
121,28
125.7,28.4
122,22.5
118.3,21
117.2,20.4
129.6,24.7
127.9,25.4
131.9,27.9
125.7,32.8
117.2,24.1
127.2,21.9
129,29.6
124.3,20.7
125.8,24.7
122.4,26.5
130.3,38.6
124.4,30
132.7,29.4
125.1,24.6
123.3,22.7
121.5,21.7
128.8,29.2
125,29.2
136.2,31.6
125.6,24.3
138.6,31.5
131.6,33.7
121.2,20
124.1,24.7
129.8,30.9
128,40.7
127.8,24.9
126.2,31.5
116.8,20.3
126.4,19.6
132.8,25.4
131.1,24.3
147.7,54.3
134.9,34.1
132,35.7
120.8,25.2
132.6,30.7
123.2,26.3
131.8,33.7
135.2,28.5
133.3,27.3
137.8,35.3
135.7,30.3
139.1,34
139,38.9
128.9,36.5
134.5,29
135.9,30.7
132.5,31.6
125.5,26.3
127,32.2
129.7,27.6
127.5,27.3
140.4,51.2
139,32.4
144.7,48.9
140.3,34.2
151,43.6
151.5,38.7
132.7,25
144.4,43.5
135.4,28.9
143.9,60.5
148.2,49.3
141.4,31.1
137.6,34.2
139.3,32.2
139.1,29.6
135.7,35
151.8,48.4
136.7,30
149.7,35.3
136.1,30.6
134.4,35.3
141.3,38.7
152,53.7
145,50
134.3,32.9
145.4,34.5
144.8,30.9
137.5,28.4
138.7,34.7
146.8,48.7
154.7,43.1
147.4,40.2
152.4,40
148.7,46.7
142.8,63.8
144,22.1
140,34.1
148.2,49.7
152.1,41.4
152.8,51.8
159.1,51.3
147.7,46.6
146.8,45.8
154.4,59.3
144.6,48.5
147.9,40.3
150.2,42
143.5,45.1
139.4,29.1
139.4,29.2
154.3,60.8
146.6,37
139.9,37.8
145.5,31.3
153.2,67.5
168.9,73.7
163.8,71.5
164.3,73.7
132.4,33.7
137.5,32.1
147.9,42.8
146.8,46.1
153.9,63.5
160.3,41.3
152.2,42.7
142.5,31.6
157.9,58.8
148.2,36
156.4,43.8
149.7,40.3
159.9,58.9
143.5,47.9
148.7,42.1
149.9,38.2
153.7,52.7
115.5,20.4
121.7,25.5
122.6,27.4
122.8,21.1
113.8,20.7
120.4,25.4
114.5,18.4
124,24
132.5,41.4
118.9,22.2
119.4,20.7
117.9,20
133.1,30.7
112.4,18.5
123.5,21.9
125.8,29.9
116.4,16.8
125.2,24.7
121,25.5
127.3,27.7
126.6,28.9
119.6,23.3
123.6,27
120.9,23.6
116,19.6
119.2,19.2
135.5,28.4
125.7,25.4
127.3,22
123,23.2
122.4,21.7
131.9,33.3
128.9,33.2
130,25.1
128.1,26.5
126.5,31
128.2,29.2
121.1,21.4
128.1,28.6
125.9,23.7
129.2,27.5
120.5,22.6
137.1,36.3
130.1,34.3
127.1,35.9
129.9,24
122.8,25.2
137.9,29
128.9,24.2
130.7,29.6
129.1,29.5
130.2,32.1
130.4,26.4
135.3,35.3
129,27.6
134.6,28.2
131.6,33.7
141.3,36.2
134.8,24.7
132.5,31.2
126.4,25.3
127.4,21.7
148.7,38.8
131.8,28.1
134,26.5
138,28.2
132.4,43.2
133.2,33.2
141.8,37.4
122.1,21.7
139,29.4
134.4,28.4
144.7,35
132.1,25.1
143.8,33.9
142.5,53.1
143.9,46.6
138.6,33.7
141.9,33.6
144.2,45.1
135.4,39
130.7,24.5
133.9,28.7
135.4,26.9
148.3,33.8
135.3,29.1
144.6,36.3
137.4,32.6
134.4,24.6
138.3,41.8
136.7,25.5
149.9,34.8
147.4,44
139.1,36
146.8,47.2
151.1,42.1
130.1,32.5
143.9,35
151.1,33.8
145.7,44.8
148.3,50.2
132.2,30.5
148.7,42.4
147.1,37.5
149.5,44.4
146.2,42.7
148.5,59.9
155.5,58.1
143,33.5
154.2,41.4
137.9,36.9
149,40.6
135.1,38.2
141.4,28.8
163.6,60.8
146.5,40.3
155.5,52.6
157.9,59.9
152.4,59.3
142.3,31
152.3,36.4
143.9,30.1
152.2,39
150.3,50.2
152.4,42.5
140.7,30.9
160.9,61.4
162,49.6
160.3,60.7
145.1,38.8
149,50.8
148.3,44.1
153.2,40.7
154.5,47.8
150.1,38.9
152.5,46.5
152.8,48
138.1,33.7
156.9,49.7
154.5,48.9
117.7,26.6
127.5,25.3
122.4,24.5
122.8,21.9
124.3,23.6
114.6,22
119.9,24.8
128.4,25.3
125.1,36.5
114.2,22.5
119.8,25
122.8,25.8
130.8,37.6
124.5,32.1
127.3,28.3
125.4,31.7
118.4,26.9
117.5,22.7
126.9,23.6
113.7,20.1
109.8,23.2
123.1,29.5
125.6,28.7
119.7,21.2
132.5,36.4
131,37.9
122.5,25.2
119.1,22.7
122.9,22.5
129.9,22.7
119.2,21.1
128.1,27.1
126.7,23.9
127.2,25
128,24.4
131.6,27
136.5,32.8
121.6,25.4
131,31.2
134.5,27.8
137.8,29.1
123.7,23.5
132.5,35.4
119,22.2
129.7,30.9
128,25.8
136,32.3
139.3,35.3
128,24.1
130.3,29.7
127.4,23.8
131.4,29.3
141.7,32.8
136,24.6
133.9,31.7
130.8,23
126.1,25.8
138.4,33.6
134.5,31.2
138.4,30.5
123.3,23.9
139.6,36.1
136.5,29.4
127.7,21.8
132.4,31.1
130.2,25.1
134.1,38.8
130.1,33.5
129.8,29.6
125.1,22.9
137.9,37.3
136.1,28.7
137.3,35.5
133.3,23.7
135.9,34.8
138.2,39.2
138.6,38.8
143.8,37.5
139.7,30.5
136.7,26.7
143.1,55.4
141.1,29.1
150.7,46.6
138.3,46.4
136.1,35.9
133,24.7
155.4,45.1
147.6,38.7
139.4,32.8
143.5,29.7
159.6,56.9
136.3,31.5
136.8,38.3
138.2,42.5
132.3,28.2
139.4,36.8
154.3,50.2
150.9,38
155.4,43.3
140.8,37.1
150.4,44.8
143.8,46.3
150.4,38
146.2,53.3
141,33.7
148.1,39.1
161.3,51.5
137.8,35.3
159.6,45.2
135.4,35.9
131.3,24
142.1,37.9
133.2,26.7
147.1,37
141.1,33
143.5,46.8
139.5,41.4
144.7,41.9
156.8,54.9
153.5,43.7
136.8,34.2
153.2,43.3
161.3,63.7
145.9,45.6
150.5,39.9
145.7,40.7
165.6,52.7
142.2,52.2
148.7,52
144.6,35.4
154.7,45.1
140.8,27.5
144.6,39.1
154.1,45.2
152.2,47.3
148,34
154.9,64
149.2,34.2
160.4,52.8
143.4,34.4
138.7,29.5
115.9,22
126,25
125.6,30.8
131.5,26
124.2,23.8
129,27
129,34
118.6,20.5
124.8,21.6
114.9,27
120.5,24
125.6,24.9
120.5,21.1
125.2,28.6
127.3,26.9
120.5,21.1
132.9,27.9
116.1,20
128.7,33.2
116,21.8
109.3,19.1
120,23
122.7,25.6
123.2,35.6
120.9,22
122.7,25.6
120.7,23
124.8,30.2
131.8,24.9
121.9,24.8
119.5,28.6
126.5,27.5
130.8,25.9
130,27.6
133.9,36.4
133.6,37.7
133.3,33.5
123.1,25.1
128.4,25.8
134.2,27.8
126.5,26
125.1,26.5
126.4,23
128.5,25.1
130.6,23.3
124.5,21.6
131.8,35.6
121.7,31
128.5,24.9
127.6,24.7
124.9,22.6
126,24.6
132.8,29.3
132.6,29.2
129,32.1
131.3,28
140,33.6
139.7,44.5
131.5,27
131.3,25.9
136.2,27.5
128.5,31.8
129.9,32.9
135.2,32.5
135.1,30
133.4,41.5
131.3,27.6
133.7,33.8
132.2,25.5
130.5,24.9
130.5,23.1
122.3,19.6
137.8,40
138.1,33
134.7,29.5
137.5,39.4
135.7,32
140.1,38.8
140.4,34
137.8,30
143.1,31.8
140,48.3
139.8,44.1
133.5,32.7
144.6,41
148.9,45.7
143.9,44.2
136.2,34.6
145.8,30.5
134.2,28.6
135.4,46.6
135.6,33.8
141.2,28.3
139.4,30.3
145.1,31.5
139.5,37.5
132,28.3
143.2,40
138.6,35
134.2,37
140.9,34
135.7,28.2
147.3,56.7
140.7,44.8
134.2,28.7
144.3,42.8
147.8,53.1
147.6,54.6
138.5,33.6
138.4,34
142.6,36.1
148.8,55.4
153.7,53.4
139.9,38
156.4,45.2
136.4,30.1
141.7,38.3
147.4,44.2
140,33.2
147.6,42.4
154.8,51.2
127.9,24
136.9,32
145.1,36.5
145.6,37.9
144,33.4
145.7,34.7
148,35.9
156.6,45.6
156.2,42.7
155.8,40.1
141.2,35.9
145.9,48.1
167.9,53.9
157.5,68.2
152.6,69.7
149.9,39.5
154.1,62.3
146.2,43.3
144.8,45.9
160,53.1
152.8,47.7
160.3,58.3
145.1,38.1
150.3,54.9
148.7,38.6
161.8,50.7
152.4,48.4
159,55
149,42.6
152.5,46.8
158.8,37.4
160.7,45.1
154.9,45.6
139.5,31.4
124.2,26.2
117.8,22.5
123.8,25.6
118.7,21.1
112,17.6
110.9,17.3
119,30.2
113.2,19.1
116.8,20.5
114.3,18.3
118.9,25.9
117.6,23.2
118.8,23.4
119.8,21.9
122.1,26.7
119.7,25
126.7,29.6
118.1,21.7
124.5,25.2
127.3,33.6
123.2,21.9
125,28.6
127,28.1
127,26.1
132,45.9
124,22.6
130,37
124,25.3
127,32.5
128,30.1
130,39.2
128,25.5
123,24.6
122,25.4
122,24.2
119,22.5
117,24.2
137,35.2
115,20.2
125,26.3
129,26.8
128,31
120,20
118,24
125,30
132,33.3
132,35.3
134,35.4
135,36.6
135,32.6
133,24.7
142,48.9
136,32.7
130,26.4
130,32.9
136,31.2
